Pasture,Patch,Year,NestID,Species,SpeciesNum,MeasureDate,TimeMeasured,NestlingAge_days,NestlingMass_g,Tarsus1,Tarsus2,Tarsus3,Mean Tarsus,Resid_MassVsTarsus_2014to2016,Resid_MassVsTarsus_2014to2015,AnyUnweighed,NestlingComments_D1
LTR,C,2015,LTR DICK 17 15,DICK,,8/6/2015,13.43,5,11.5,,,,18.11,-1.2175482,-1.297257553,N,
LTR,C,2015,LTR DICK 17 15,DICK,,8/6/2015,13.43,5,11.6,,,,17.24,-0.163174314,-0.232777543,N,
LTR,C,2015,LTR DICK 17 15,DICK,,8/6/2015,13.43,5,13,,,,18.6,-0.255069125,-0.340470432,N,
LTR,C,2015,LTR DICK 14 15,DICK,,7/30/2015,8.67,5,9.5,,,,15.47,-0.321517096,-0.370559592,N,day 4?
LTR,C,2015,LTR DICK 14 15,DICK,,7/30/2015,8.67,5,12.3,,,,18.14,-0.450457645,-0.530515484,N,
LTR,C,2015,LTR DICK 14 15,DICK,,7/30/2015,8.67,5,12.3,,,,18.32,-0.647914311,-0.730063072,N,
LTR,E,2015,LTR DICK 16 15,DICK,,8/6/2015,12.77,6,13.3,,,,19.51,-0.953322271,-1.04929435,N,
LTR,E,2015,LTR DICK 16 15,DICK,,8/6/2015,12.77,6,14.3,,,,19.94,-0.425024307,-0.525991366,N,
LTR,E,2015,LTR DICK 16 15,DICK,,8/6/2015,12.77,7,16.6,,,,21.32,0.361141252,0.244143791,N,day 7? Not jumpy
LTR,E,2015,LTR DICK 22 15,DICK,,8/19/2015,14.97,5,9.4,,,,16.9,-1.990200611,-2.055854321,N,day 4?
LTR,E,2015,LTR DICK 22 15,DICK,,8/19/2015,14.97,5,11,,,,18,-1.596880238,-1.675311804,N,
LTR,E,2015,LTR DICK 22 15,DICK,,8/19/2015,14.97,5,11,,,,18.5,-2.145370977,-2.22961066,N,
LTR,E,2015,LTR DICK 22 15,DICK,,8/19/2015,14.97,5,12.6,,,,17.7,0.332214206,0.25726751,N,
LTR,C,2015,LTR DICK 23 15,DICK,,8/9/2015,18.05,5,13,,,,16.76,1.763376796,1.699349359,N,Small blood sample
LTR,C,2015,LTR DICK 2 15,DICK,,7/15/2015,19.67,5,13.4,,,,18.5,0.254629023,0.17038934,N,
LTR,C,2015,LTR DICK 2 15,DICK,,7/15/2015,19.67,6,14.3,,,,20.26,-0.77605838,-0.880742634,N,
LTR,C,2015,LTR DICK 2 15,DICK,,7/15/2015,19.67,6,14.8,,,,18.79,1.336504394,1.248896003,N,
LTR,C,2015,LTR DICK 2 15,DICK,,7/15/2015,19.67,6,15.1,,,,18.59,1.85590069,1.770615546,N,
LTR,C,2015,LTR DICK 10 15,DICK,,8/2/2015,13.18,5,12.9,,,,17.84,0.478636799,0.40206383,N,
LTR,C,2015,LTR DICK 10 15,DICK,,8/2/2015,13.18,6,13.3,,,,20.21,-1.721209306,-1.825312748,N,
LTR,C,2015,LTR DICK 10 15,DICK,,8/2/2015,13.18,6,16.3,,,,19.81,1.717583285,1.618126337,N,
PYN,S,2015,PYN DICK 3 15,DICK,,8/11/2015,17.53,5,12.7,,,,17.03,1.167191797,1.100027977,N,
PYN,S,2015,PYN DICK 3 15,DICK,,8/11/2015,17.53,6,15.4,,,,18.25,2.528874393,2.447538768,N,
PYN,W,2015,PYN DICK 4 15,DICK,,8/19/2015,13.88,6,10.8,,,,17.1,-0.809596907,-0.877573863,N,Used wing rule for tarsus day 5?
PYN,W,2015,PYN DICK 4 15,DICK,,8/19/2015,13.88,6,13.1,,,,18.8,-0.374465421,-0.462189974,N,Used wing rule for tarsus day 5?
PYN,W,2015,PYN DICK 4 15,DICK,,8/19/2015,13.88,6,13.7,,,,19.6,-0.652050604,-0.749068144,N,Used wing rule for tarsus day 5?
RIE,W,2015,RIE DICK 45 15,DICK,,7/15/2015,18.25,5,10.7,,,,16.1,0.187384573,0.131023849,N,
RIE,W,2015,RIE DICK 45 15,DICK,,7/15/2015,18.25,5,12.5,,,,16.7,1.329195685,1.265865222,N,
RIE,W,2015,RIE DICK 45 15,DICK,,7/15/2015,18.25,5,13,,,,16.54,2.004712722,1.943240856,N,
RIE,W,2015,RIE DICK 34 15,DICK,,7/24/2015,8.33,5,11.2,,,,17.95,-1.342031164,-1.419881919,N,
RIE,W,2015,RIE DICK 34 15,DICK,,7/24/2015,8.33,5,11.5,,,,17.66,-0.723906535,-0.798388582,N,
RIE,W,2015,RIE DICK 6 15,DICK,,6/24/2015,13.27,5,7.3,,,,13.86,-0.755376915,-0.785717275,N,ORIGINALLY called it day 6; changed to day 5 based on tarsus
RIE,W,2015,RIE DICK 6 15,DICK,,6/24/2015,13.27,6,12.5,,,,16.72,1.307256056,1.243693268,N,
RIE,W,2015,RIE DICK 6 15,DICK,,6/24/2015,13.27,6,12.5,,,,18.58,-0.733129496,-0.818298477,N,
RIE,W,2015,RIE DICK 6 15,DICK,,6/24/2015,13.27,6,12.9,,,,17.43,0.928399205,0.856588892,N,
RIE,W,2015,RIE DICK 6 15,DICK,,6/24/2015,13.27,6,14.2,,,,17.89,1.723787725,1.646633944,N,
